date, name, size, price_per_unit, price, details_page, kosher, local, organic, peanut_free, lactose_free, vegan, vegetarian, sku
"2023-03-27", "Nabob 1896 Ground Coffee Tradition Swiss Water Decaffeinated 300 g", "300g", "($2.50 per 100g)", "$7.49", "https://voila.ca/products/679117EA/details", "False", "False", "False", "False", "False", "False", "False", "679117EA"
"2023-03-27", "Starbucks Ground Coffee Natural Caramel Flavour 311 g", "311g", "($3.53 per 100g)", "$10.99", "https://voila.ca/products/379634EA/details", "False", "False", "False", "False", "False", "False", "False", "379634EA"
"2023-03-27", "Tim Hortons Fine Grind Colombian Dark Medium Roast 300 g", "300g", "($3.66 per 100g)", "$10.99", "https://voila.ca/products/675965EA/details", "False", "False", "False", "False", "False", "False", "False", "675965EA"
"2023-03-27", "Starbucks Coffee Breakfast Blend 340 g", "340g", "($3.23 per 100g)", "$10.99", "https://voila.ca/products/465070EA/details", "False", "False", "False", "False", "False", "False", "False", "465070EA"
"2023-03-27", "Starbucks Ground Coffee French Dark Roast 793 g", "793g", "($2.84 per 100g)", "$22.49", "https://voila.ca/products/522139EA/details", "False", "False", "False", "False", "False", "False", "False", "522139EA"
"2023-03-27", "Ethical Bean Organic Ground Coffee Superdark French Roast 227 g", "227g", "($6.38 per 100g)", "$14.49", "https://voila.ca/products/668364EA/details", "False", "False", "True", "False", "False", "False", "False", "668364EA"
"2023-03-27", "Nabob Ground Coffee Fine Grind Medium Roast 930 g", "930g", "($2.15 per 100g)", "$19.99", "https://voila.ca/products/14925EA/details", "False", "False", "False", "False", "False", "False", "False", "14925EA"
"2023-03-27", "Kicking Horse Organic Ground Coffee 454 Horse Power Dark 284 g", "284g", "($4.93 per 100g)", "$13.99", "https://voila.ca/products/393237EA/details", "False", "False", "True", "False", "False", "False", "False", "393237EA"
"2023-03-27", "Nabob 1896 Tradition Ground Coffee 300 g", "300g", "($2.50 per 100g)", "$7.49", "https://voila.ca/products/679111EA/details", "False", "False", "False", "False", "False", "False", "False", "679111EA"
"2023-03-27", "Starbucks Ground Coffee French Roast 340 g", "340g", "($3.23 per 100g)", "$10.99", "https://voila.ca/products/302633EA/details", "False", "False", "False", "False", "False", "False", "False", "302633EA"
