date, code, inactive, name, category, category_id, category_url, brand, age_restriction, alcohol, unit_details, price, price_per_unit, price_before_sale, on_sale_until
"2023-03-27", "063209185824", "false", "Bold Espresso Coffee Pods", "Beverages", "000002", "/aisles/beverages/coffee/coffee-pods", "Tim Hortons", "false", "false", "", "", "", "", ""
"2023-03-27", "8001800012776", "false", "Cortina Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Caffe Vergnano", "false", "false", "500 g", "$13.99", "$2.80 /100g", "", ""
"2023-03-27", "036632072962", "false", "Unsweetened Brewed Dark Coffee Beverage", "Beverages", "000002", "/aisles/beverages/iced-tea-coffee/iced-coffee", "Stōk", "false", "false", "1.42 L", "$8.99", "$0.63 /100ml", "", ""
"2023-03-27", "8001800012790", "false", "Amalfi Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Caffe Vergnano", "false", "false", "500 g", "$13.99", "$2.80 /100g", "", ""
"2023-03-27", "8001800000094", "false", "Granaroma Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Caffe Vergnano", "false", "false", "1000 g", "$19.99", "$2.00 /100g", "", ""
"2023-03-27", "8001800001961", "false", "Granaroma Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Caffe Vergnano", "false", "false", "250 g", "$5.99", "$2.40 /100g", "", ""
"2023-03-27", "066188003929", "false", "Original Roast Coffee Compostable Pods", "Beverages", "000002", "/aisles/beverages/coffee/coffee-pods", "Maxwell House", "false", "false", "12 un", "$6.99", "$0.58 /un.", "9.99", "Valid until Mar 29, 2023"
"2023-03-27", "055437604864", "false", "Traditional Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Melitta", "false", "false", "930 g", "$21.99", "$2.36 /100g", "24.99", "Valid until Apr 5, 2023"
"2023-03-27", "063209083922", "false", "Decaf Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Tim Hortons", "false", "false", "300 g", "$10.99", "$3.66 /100g", "", ""
"2023-03-27", "066188090400", "false", "Coffee T Discs", "Beverages", "000002", "/aisles/beverages/coffee/coffee-pods", "Tim Hortons", "false", "false", "14 un", "$11.99", "$0.86 /un.", "", ""
"2023-03-27", "041271025644", "false", "French Vanilla Flavoured Coffee Enhancer", "Dairy & Eggs", "000008", "/aisles/dairy-eggs/milk-cream-butter/cream-creamers", "International Delight", "false", "false", "946 mL", "$6.99", "$0.74 /100ml", "", ""
"2023-03-27", "059749957939", "false", "Colombian Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Irresistibles", "false", "false", "925 g", "$15.99", "$1.73 /100g", "", ""
"2023-03-27", "060200001757", "false", "Breakfast Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Nabob", "false", "false", "300 g", "$6.99", "$2.33 /100g", "10.99", "Valid until Mar 29, 2023"
"2023-03-27", "059749958011", "false", "Guatemala Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Irresistibles", "false", "false", "340 g", "$8.49", "$2.50 /100g", "", ""
"2023-03-27", "060200001771", "false", "Full City Dark Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Nabob", "false", "false", "300 g", "$6.99", "$2.33 /100g", "10.99", "Valid until Mar 29, 2023"
"2023-03-27", "063209095925", "false", "Colombian Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Tim Hortons", "false", "false", "300 g", "$10.99", "$3.66 /100g", "", ""
"2023-03-27", "063209113377", "false", "Espresso Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Tim Hortons", "false", "false", "300 g", "$10.99", "$3.66 /100g", "", ""
"2023-03-27", "779921570007", "false", "Espresso Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Gioia", "false", "false", "250 g", "$4.29", "$1.72 /100g", "", ""
"2023-03-27", "060200001832", "false", "1896 Tradition Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Nabob", "false", "false", "300 g", "$6.99", "$2.33 /100g", "10.99", "Valid until Mar 29, 2023"
"2023-03-27", "041953075059", "false", "Arabica Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Lavazza", "false", "false", "340 g", "$10.49", "$3.09 /100g", "11.99", "Valid until Apr 5, 2023"
"2023-03-27", "762111949677", "false", "Verona® Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Starbucks", "false", "false", "340 g", "$12.79", "$3.76 /100g", "", ""
"2023-03-27", "059749958042", "false", "Colombian Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Irresistibles", "false", "false", "340 g", "$8.49", "$2.50 /100g", "", ""
"2023-03-27", "060200001849", "false", "Medium Roasted Decaffeinated Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Nabob", "false", "false", "300 g", "$6.99", "$2.33 /100g", "10.99", "Valid until Mar 29, 2023"
"2023-03-27", "041953019411", "false", "Arabica Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Lavazza", "false", "false", "250 g", "$7.99", "$3.20 /100g", "", ""
"2023-03-27", "041953019435", "false", "Arabica Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Lavazza", "false", "false", "1 kg", "$28.99", "$2.90 /100g", "", ""
"2023-03-27", "762111949691", "false", "Sumatra Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Starbucks", "false", "false", "340 g", "$12.79", "$3.76 /100g", "", ""
"2023-03-27", "041953075073", "false", "Espresso Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Lavazza", "false", "false", "340 g", "$10.49", "$3.09 /100g", "11.99", "Valid until Apr 5, 2023"
"2023-03-27", "055437607766", "false", "Colombian Coffee Beans", "Beverages", "000002", "/aisles/beverages/coffee/whole-bean", "Melitta", "false", "false", "907 g", "$21.49", "$2.37 /100g", "23.99", "Valid until Apr 5, 2023"
"2023-03-27", "066188002359", "false", "Decaffeinated Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Maxwell House", "false", "false", "631 g", "$16.99", "$2.69 /100g", "", ""
"2023-03-27", "060200107763", "false", "Tradition Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Nabob", "false", "false", "930 g", "$24.99", "$2.69 /100g", "", ""
"2023-03-27", "8002200163273", "false", "Espresso Ground Coffee", "Beverages", "000002", "/aisles/beverages/coffee/ground-coffee", "Kimbo", "false", "false", "250 g", "$4.79", "$1.92 /100g", "", ""
